reference_year,sido_code,sido_name,sigungu_code,sigungu_name,admin_dong_code,admin_dong_name,full_name
2025,21,부산광역시,21090,해운대구,21090710,반여4동,부산광역시 해운대구 반여4동
2025,21,부산광역시,21090,해운대구,21090720,반송1동,부산광역시 해운대구 반송1동
2025,21,부산광역시,21090,해운대구,21090730,우1동,부산광역시 해운대구 우1동
2025,21,부산광역시,21090,해운대구,21090740,우2동,부산광역시 해운대구 우2동
2025,21,부산광역시,21090,해운대구,21090750,우3동,부산광역시 해운대구 우3동
2025,21,부산광역시,21100,사하구,21100510,괴정1동,부산광역시 사하구 괴정1동
2025,21,부산광역시,21100,사하구,21100520,괴정2동,부산광역시 사하구 괴정2동
2025,21,부산광역시,21100,사하구,21100530,괴정3동,부산광역시 사하구 괴정3동
2025,21,부산광역시,21100,사하구,21100540,괴정4동,부산광역시 사하구 괴정4동
2025,21,부산광역시,21100,사하구,21100550,당리동,부산광역시 사하구 당리동
2025,21,부산광역시,21100,사하구,21100560,하단1동,부산광역시 사하구 하단1동
2025,21,부산광역시,21100,사하구,21100570,하단2동,부산광역시 사하구 하단2동
2025,21,부산광역시,21100,사하구,21100580,신평1동,부산광역시 사하구 신평1동
2025,21,부산광역시,21100,사하구,21100590,신평2동,부산광역시 사하구 신평2동
2025,21,부산광역시,21100,사하구,21100600,장림1동,부산광역시 사하구 장림1동
2025,21,부산광역시,21100,사하구,21100610,장림2동,부산광역시 사하구 장림2동
2025,21,부산광역시,21100,사하구,21100620,다대1동,부산광역시 사하구 다대1동
2025,21,부산광역시,21100,사하구,21100630,다대2동,부산광역시 사하구 다대2동
2025,21,부산광역시,21100,사하구,21100640,구평동,부산광역시 사하구 구평동
2025,21,부산광역시,21100,사하구,21100650,감천1동,부산광역시 사하구 감천1동
2025,21,부산광역시,21100,사하구,21100660,감천2동,부산광역시 사하구 감천2동
2025,21,부산광역시,21110,금정구,21110510,서1동,부산광역시 금정구 서1동
2025,21,부산광역시,21110,금정구,21110520,서2동,부산광역시 금정구 서2동
2025,21,부산광역시,21110,금정구,21110570,부곡1동,부산광역시 금정구 부곡1동
2025,21,부산광역시,21110,금정구,21110580,부곡2동,부산광역시 금정구 부곡2동
2025,21,부산광역시,21110,금정구,21110590,부곡3동,부산광역시 금정구 부곡3동
2025,21,부산광역시,21110,금정구,21110600,부곡4동,부산광역시 금정구 부곡4동
2025,21,부산광역시,21110,금정구,21110610,장전1동,부산광역시 금정구 장전1동
2025,21,부산광역시,21110,금정구,21110640,선두구동,부산광역시 금정구 선두구동
2025,21,부산광역시,21110,금정구,21110670,청룡노포동,부산광역시 금정구 청룡노포동
2025,21,부산광역시,21110,금정구,21110680,남산동,부산광역시 금정구 남산동
2025,21,부산광역시,21110,금정구,21110690,구서1동,부산광역시 금정구 구서1동
2025,21,부산광역시,21110,금정구,21110700,구서2동,부산광역시 금정구 구서2동
2025,21,부산광역시,21110,금정구,21110710,금성동,부산광역시 금정구 금성동
2025,21,부산광역시,21110,금정구,21110720,서3동,부산광역시 금정구 서3동
2025,21,부산광역시,21110,금정구,21110730,금사회동동,부산광역시 금정구 금사회동동
2025,21,부산광역시,21110,금정구,21110740,장전2동,부산광역시 금정구 장전2동
2025,21,부산광역시,21120,강서구,21120510,대저1동,부산광역시 강서구 대저1동
2025,21,부산광역시,21120,강서구,21120520,대저2동,부산광역시 강서구 대저2동
2025,21,부산광역시,21120,강서구,21120530,강동동,부산광역시 강서구 강동동
2025,21,부산광역시,21120,강서구,21120550,가락동,부산광역시 강서구 가락동
2025,21,부산광역시,21120,강서구,21120561,녹산동,부산광역시 강서구 녹산동
2025,21,부산광역시,21120,강서구,21120562,신호동,부산광역시 강서구 신호동
2025,21,부산광역시,21120,강서구,21120580,가덕도동,부산광역시 강서구 가덕도동
2025,21,부산광역시,21120,강서구,21120590,명지1동,부산광역시 강서구 명지1동
2025,21,부산광역시,21120,강서구,21120600,명지2동,부산광역시 강서구 명지2동
2025,21,부산광역시,21130,연제구,21130510,거제1동,부산광역시 연제구 거제1동
2025,21,부산광역시,21130,연제구,21130520,거제2동,부산광역시 연제구 거제2동
2025,21,부산광역시,21130,연제구,21130530,거제3동,부산광역시 연제구 거제3동
2025,21,부산광역시,21130,연제구,21130540,거제4동,부산광역시 연제구 거제4동
2025,21,부산광역시,21130,연제구,21130550,연산1동,부산광역시 연제구 연산1동
2025,21,부산광역시,21130,연제구,21130560,연산2동,부산광역시 연제구 연산2동
2025,21,부산광역시,21130,연제구,21130570,연산3동,부산광역시 연제구 연산3동
2025,21,부산광역시,21130,연제구,21130580,연산4동,부산광역시 연제구 연산4동
2025,21,부산광역시,21130,연제구,21130590,연산5동,부산광역시 연제구 연산5동
2025,21,부산광역시,21130,연제구,21130600,연산6동,부산광역시 연제구 연산6동
2025,21,부산광역시,21130,연제구,21130620,연산8동,부산광역시 연제구 연산8동
2025,21,부산광역시,21130,연제구,21130630,연산9동,부산광역시 연제구 연산9동
2025,21,부산광역시,21140,수영구,21140510,남천1동,부산광역시 수영구 남천1동
2025,21,부산광역시,21140,수영구,21140520,남천2동,부산광역시 수영구 남천2동
2025,21,부산광역시,21140,수영구,21140530,수영동,부산광역시 수영구 수영동
2025,21,부산광역시,21140,수영구,21140540,망미1동,부산광역시 수영구 망미1동
2025,21,부산광역시,21140,수영구,21140550,망미2동,부산광역시 수영구 망미2동
2025,21,부산광역시,21140,수영구,21140560,광안1동,부산광역시 수영구 광안1동
2025,21,부산광역시,21140,수영구,21140570,광안2동,부산광역시 수영구 광안2동
2025,21,부산광역시,21140,수영구,21140580,광안3동,부산광역시 수영구 광안3동
2025,21,부산광역시,21140,수영구,21140590,광안4동,부산광역시 수영구 광안4동
2025,21,부산광역시,21140,수영구,21140600,민락동,부산광역시 수영구 민락동
2025,21,부산광역시,21150,사상구,21150510,삼락동,부산광역시 사상구 삼락동
2025,21,부산광역시,21150,사상구,21150520,모라1동,부산광역시 사상구 모라1동
2025,21,부산광역시,21150,사상구,21150540,모라3동,부산광역시 사상구 모라3동
2025,21,부산광역시,21150,사상구,21150550,덕포1동,부산광역시 사상구 덕포1동
2025,21,부산광역시,21150,사상구,21150560,덕포2동,부산광역시 사상구 덕포2동
