admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21050560,부산진구,양정1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,67.804878,0,,monitor,medium_low
21050640,부산진구,부암1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,67.317073,0,,monitor,medium_low
21020510,서구,동대신1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,66.829268,0,,monitor,medium_low
21050520,부산진구,부전2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,66.341463,0,,monitor,medium_low
21050820,부산진구,부전1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,65.853659,0,,monitor,medium_low
21110600,금정구,부곡4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,65.365854,0,,monitor,medium_low
21130570,연제구,연산3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,64.878049,0,,monitor,medium_low
21100540,사하구,괴정4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,64.390244,0,,monitor,medium_low
21020560,서구,서대신3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,63.902439,0,,monitor,medium_low
21020540,서구,서대신1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,63.414634,0,,monitor,medium_low
21050610,부산진구,전포2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,62.926829,0,,monitor,medium_low
21110740,금정구,장전2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,62.439024,0,,monitor,medium_low
21080530,북구,구포3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,61.95122,0,,monitor,medium_low
21080600,북구,만덕2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,61.463415,0,,monitor,medium_low
21100590,사하구,신평2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,60.97561,0,,monitor,medium_low
21010540,중구,보수동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,60.487805,0,,monitor,medium_low
21080520,북구,구포2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,60.0,0,,monitor,medium_low
21080590,북구,만덕1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,59.512195,0,,monitor,low
21100600,사하구,장림1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,59.02439,0,,monitor,medium_low
21020590,서구,부민동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,58.536585,0,,monitor,medium_low
21100580,사하구,신평1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,58.04878,0,,monitor,medium_low
21090660,해운대구,좌1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,57.560976,0,,monitor,medium_low
21010510,중구,중앙동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,57.073171,0,,monitor,medium_low
21140540,수영구,망미1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,56.585366,0,,monitor,medium_low
21010530,중구,대청동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,56.097561,0,,monitor,medium_low
21090670,해운대구,좌2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,55.609756,0,,monitor,medium_low
21090680,해운대구,좌3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,55.121951,0,,monitor,medium_low
21130630,연제구,연산9동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,54.634146,0,,monitor,medium_low
21010520,중구,동광동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,54.146341,0,,monitor,medium_low
21050830,부산진구,전포1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,53.658537,0,,monitor,medium_low
21090640,해운대구,재송1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,53.170732,0,,monitor,medium_low
21060620,동래구,안락2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,52.682927,0,,monitor,medium_low
21100610,사하구,장림2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,52.195122,0,,monitor,medium_low
21090530,해운대구,중1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,51.707317,0,,monitor,medium_low
21090540,해운대구,중2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,51.219512,0,,monitor,medium_low
21010570,중구,광복동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,50.731707,0,,monitor,medium_low
21060610,동래구,안락1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,50.243902,0,,monitor,medium_low
21010580,중구,남포동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,49.756098,0,,monitor,medium_low
21110570,금정구,부곡1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,49.268293,0,,monitor,medium_low
21140550,수영구,망미2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,48.780488,0,,monitor,medium_low
21110510,금정구,서1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,48.292683,0,,monitor,medium_low
