admin_dong_code,sigungu_name,admin_dong_name,category,category_label,major_category,major_category_label,major_category_weight,indicator,indicator_label,raw_or_derived_value,deprivation_percentile_0_100,within_category_weight,weighted_score,evidence_type,value_status_ko,estimate_used,estimation_method_ko,estimation_reason,confidence_level,quality_note,indicator_policy_triggered
21030510,동구,초량1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,153.384392,85.365854,1.0,85.365854,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030520,동구,초량2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,216.320716,93.658537,1.0,93.658537,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030530,동구,초량3동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,50.72407,20.487805,1.0,20.487805,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21030550,동구,초량6동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,197.309417,90.243902,1.0,90.243902,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030560,동구,수정1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,132.925898,78.536585,1.0,78.536585,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030570,동구,수정2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,141.198114,80.97561,1.0,80.97561,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030590,동구,수정4동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,226.514215,94.146341,1.0,94.146341,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030600,동구,수정5동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,203.01598,92.195122,1.0,92.195122,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030660,동구,범일2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,87.062653,51.219512,1.0,51.219512,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21030680,동구,범일5동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,45.236234,17.073171,1.0,17.073171,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
